Country,liveType,City,tourCount,month,population
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Jan,733
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Feb,853
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Mar,1012
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Apr,1305
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-May,880
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Jun,969
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Jul,1347
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Aug,1224
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Sep,709
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Oct,815
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Nov,835
嘉義縣,觀光飯店,阿里山鄉,國內旅客,2016-Dec,0
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Jan,174
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Feb,233
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Mar,122
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Apr,78
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-May,135
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Jun,114
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Jul,135
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Aug,137
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Sep,65
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Oct,102
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Nov,54
嘉義縣,觀光飯店,阿里山鄉,陸客(含港澳),2016-Dec,0
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Jan,119
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Feb,84
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Mar,142
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Apr,57
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-May,115
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Jun,87
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Jul,89
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Aug,149
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Sep,90
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Oct,110
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Nov,200
嘉義縣,觀光飯店,阿里山鄉,外籍旅客,2016-Dec,0
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Jan,718
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Feb,819
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Mar,893
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Apr,836
嘉義縣,觀光飯店,阿里山鄉,個別,2016-May,791
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Jun,819
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Jul,1100
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Aug,1057
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Sep,605
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Oct,719
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Nov,762
嘉義縣,觀光飯店,阿里山鄉,個別,2016-Dec,0
嘉義縣,觀光飯店,阿里山鄉,團體,2016-Jan,308
嘉義縣,觀光飯店,阿里山鄉,團體,2016-Feb,351
嘉義縣,觀光飯店,阿里山鄉,團體,2016-Mar,383
嘉義縣,觀光飯店,阿里山鄉,團體,2016-Apr,604
嘉義縣,觀光飯店,阿里山鄉,團體,2016-May,339
